id,text,prediction,label,error_type,experiment,lang,mwe,mwe_pattern
65423,"Doomchin stabbed Denise Webster, 61, in a moment of psychosis on Aug. 13, 2018 after suffering from schizophrenia for more than 30 years, Bogle said while delivering his trial verdict last summer. The judge committed Doomchin after agreeing with the prosecution that she has a dangerous mental disorder. That followed a virtual hearing Tuesday in which a psychiatrist testified and Doomchin pleaded to be set free.",1,1,true_positive,MB3,en,mental disorder,ADJ-NOUN
11321,"Our service is 100% free for you to use and you could save up to 80% off car parts list prices within minutes. Buy New and Used Fiat Panda Car Parts When you send in your quote request you'll be accessing Fiat Panda car spares from breakers, scrap yards and dismantlers across the UK.",1,1,true_positive,MB3,en,,
4378,"Prior to this, we've had missions cover during two times of the day in some locations across the planet. Knowing that the weather system is dynamic, it's very important for us to further understand and investigate the overall dust storm systems, clouds, water vapor, to name a few of the constituents that we are observing. What else we look at is how far hydrogen and oxygen extend out into space from Mars.",1,1,true_positive,MB3,en,dust storm,NOUN-NOUN
77378,"It is completely free to download and play, and has, so far, been downloaded by over 10 million users. The objective of Chain Reaction is to eliminate other players’ orbs and take over the entire board. You can enjoy the game on both smartphones and tablets, but the HD mode is only available to larger screens.",1,1,true_positive,MB3,en,,
30105," I am glad to say that Halifax pays no attention to this"". Lothian played a central role in enlisting American support for economic aid to the British war effort. His change of view of Nazi intentions following the 1939 invasion of Czechoslovakia led him, as Ambassador to the United States, to seek a comprehensive program of aid for Britain.",1,1,true_positive,MB3,en,economic aid,ADJ-NOUN
26028,"The Idaho State Police say the crashes involving nine vehicles shut down both directions of Interstate 15 south of Idaho Falls Saturday afternoon for about seven hours. A police statement says ""many of the drivers were driving too fast when entering the dust storm with zero visibility, causing a chain reaction crash."" Ten people were taken to hospitals, but there was no immediate word on their conditions.",1,1,true_positive,MB3,en,dust storm,NOUN-NOUN
21847,"Enter to win a $100 gift card to Flower Child restaurant, opening May 2018 Now's your chance to try out Flower Child with a $100 gift card. Flower Child has brought the best, fast casual, healthy food into the world.",1,1,true_positive,MB3,en,,
13546,"We are working really hard to give the best possible service and finding the clients very receptive,” he adds. In particular because with all the COVID issues I am sure that many Olive Press readers have not been getting their normal health checks at the local hospital. We can do the same and a lot more in a far safer environment.”",1,1,true_positive,MB3,en,health check,NOUN-NOUN
77239,"When you are involved in a car accident that causes significant damage to your vehicle, the next step is getting compensated by the insurance company that provides the policy on the car. However, getting a fair price for the damage is often a challenge, as an insurance company loses money when it has to pay out following an accident. According to Value Penguin, claims adjusters who work for insurance companies try to pay the smallest amount possible for the damages that occurred to your vehicle.",1,1,true_positive,MB3,en,insurance company,NOUN-NOUN
10835,"This is also supported by a number of other findings: For example, several older studies show that women whose cycles are in sync with that of the moon have the highest probability of becoming pregnant. Two large longitudinal studies demonstrate a significant correlation between birth rate and lunar phase with a slight increase in birth rate at full moon and a corresponding decrease at new moon. Recent evidence also suggests that births are more likely to occur at night during a full moon and during the day when there is a new moon.",1,1,true_positive,MB3,en,birth rate,NOUN-NOUN
71218,"Wear bow ties every day if you want to incorporate them into your entire business attire, or wear them infrequently if you prefer to use them as a fashion statement. If you are employed at an academic institution, opt for bow ties during classroom lectures, student meetings and professional conferences. As a doctor or lawyer, choose bow ties for courtroom hearings, client meetings and patient consultations.",1,1,true_positive,MB3,en,bow tie,VERB-NOUN
98667,"The report, entitled The Future of the Global Muslim Population, was part of a Pew Forum program analysing religious change and its impact on societies around the world. Alan Cooperman, Pew Forum associate director for research, said the results refuted claims made by some critics of Muslim immigration that high birth rates would make Muslims the majority in Europe within a few decades. Muslim minorities will grow to around 10 percent of the population in several European countries, he said, adding: Those are substantial increases but they are very far from 'Eurabia' scenario of runaway growth.",1,1,true_positive,MB3,en,birth rate,NOUN-NOUN
89787,"Locally owned restaurants The Deadrise, The Vanguard and Brown Chicken Brown Cow also received a shout out. This is My South is a travel guide for all things in the Southern United States, featuring accommodation reviews, restaurant recommendations, and activities for all ages and budgets. Editor Caroline Eubanks visited Hampton in September 2019 and toured Hampton’s heritage sites.",1,1,true_positive,MB3,en,travel guide,NOUN-NOUN
59187,"That driver stayed on the scene, but the person behind the wheel of a second car that hit her drove off. Jeaneth's husband Elerie was in the middle of cooking her favorite soup in celebration of their 31st wedding anniversary. When Jeaneth's friend phoned him to rush over a few blocks to tend to his dying wife.",1,1,true_positive,MB3,en,wedding anniversary,NOUN-NOUN
9810,"So when you sink your teeth into it, you’ll reveal the bright pink cream that looks like it belongs on a stick. The 2017 packaging for the Cotton Candy Twinkies featured a striped tent and ferris wheel, so it was really embracing that carnival feel. This time around, however — and the reason we know that it’s coming back — is because now it has a more spring feel to it.",1,1,true_positive,MB3,en,,
61744,"Birth rates are falling in Coventry and creating a lower demand for school reception places. Councillors at Coventry City Council this week were told after several years of expanding primary schools, things are now moving in the opposite direction due to lower birth rates. A report to an education and skills meeting on February 1 said it is a trend which “is forecast to continue” – but the authority has not disclosed the city’s birth rates, despite being asked multiple times.",1,1,true_positive,MB3,en,birth rate,NOUN-NOUN
43006,"Here, the weather is harsh, rarely mild and always unpredictable. Alpine creatures sieze the high life of summer before winter turns their home into a frozen fortress. Soar into the alps, and meet the remarkable mountaineers that thrive here.",1,1,true_positive,MB3,en,high life,ADJ-NOUN
5376,"Sales of pregnancy tests and pregnancy vitamins in Germany jumped in the last few months, according to a poll conducted for pharmacy news service Apotheke Adhoc. The bigger the economic fears, the bigger the impact on the birth rate,” said Martin Bujard, deputy director at Germany’s Federal Institute for Population Research. So in countries where the welfare state minimises the economic impact – like Germany – there might be less of a negative effect.”",1,1,true_positive,MB3,en,birth rate,NOUN-NOUN
5324,"Broad credit growth picked up some in February, after declining for four consecutive months. Still, analysts expect lending will slow again given Beijing’s recent signals. In contrast, last week the U.S. enacted a fresh $1.9 trillion economic aid package and the European Central Bank said it would boost its purchases of eurozone debt. The different approaches reflect how Beijing views the pandemic as a temporary disruption, while Western policy makers are still trying to revive their economies and prevent long-term damage from the pandemic’s effects.",1,1,true_positive,MB3,en,economic aid,ADJ-NOUN
9938," A member of the relief committee was detailed on the case and he found the baby. The same day, while walking on the street, he saw a woman carrying a baby in a pillow slip thrown over her shoulder. Two hours later he again met the woman. ",1,1,true_positive,MB3,en,pillow slip,NOUN-VERB
20685,"Sunday at Camp is much like any other day, excepting that the laundry is given out and the outgoing wash collected. The boys form into line under the direction of the faculty, are sent down in companies of ten according to their numbers, to the laundry room, where they receive the clean wash, consisting of personal clothes, besides sheets, towels and pillow slips, take them up to their tents, put them in their trunks, excepting what they put into immediate use. After breakfast they gather up all the soiled wash, make out a duplicate list, and have them ready when the man calls at each tent for them. ",1,1,true_positive,MB3,en,pillow slip,NOUN-VERB
24264,"Ken Geidel, who served and entertained Penguins fans and Pittsburgh sports fans for years with his unique style as a concession vendor, has passed away. Geidel was known as the ""Pittsburgh Cotton Candy Man"" and ""Pittsburgh Lemonade Man"" and had a following on Facebook and the Internet. Ken was an exemplary employee who was with us for a long time,"" said Michael McDonald, district manager for Aramark.",1,1,true_positive,MB3,en,,
55355,"For women between the ages of 30 and 34, the birth rate increased by 1 percent over 2015 — the highest rate for this age group since 1964. The birth rate for women who are between 35 and 39 is up 2 percent over 2015, representing the highest rate since 1962. Even older women, those between the ages of 40 and 44, showed a swelling increase of 4 percent over 2015 — the highest rate for this group since 1966, according to the statisticians, while the rate of birth for women who are older than 45 is also a record high though the number of births remains essentially unchanged compared to last year.",1,1,true_positive,MB3,en,birth rate,NOUN-NOUN
62716,"This is a good point at which to move it into garden soil where roots can spread and give the young plant a boost. You can also plant a nursery specimen of ""Cotton Candy"" during the summer, but a larger plant that's been growing for months in its pot might be root bound and could get off to a slow start and not bloom well until the following season. Whenever you plant ""Cotton Candy,"" choose a spot that gets full sun for at least most of each day.",1,1,true_positive,MB3,en,,
99713,"Create a website for your bow tie business. Bow ties are primarily worn by men, but both men and women buy them, as some women may like buying ties and other clothing accessories for their husbands or boyfriends. Your site should appeal to both men and women.",1,1,true_positive,MB3,en,bow tie,VERB-NOUN
