id,text,prediction,label,error_type,experiment,lang,mwe,mwe_pattern
436,"If you're shopping for a child or children, you'd be wise to purchase an option sized for kids rather than stuffing the youngster(s) you have in mind into a cumbersome and awkwardly sized adult PFD. They'll be more comfortable, and ultimately safer in the event of an emergency with a properly sized vest, so buy smart and either choose an option with youth sizing, or a life vest specifically suited for kids. Here are a few of our top picks of kayaking life vests for kids:",1,0,false_positive,MB3,en,life vest,NOUN-NOUN
4167,"Henry Louis Aaron wasn’t just our icon, but one across Major League Baseball and around the world."" Aaron blasted 755 home runs in his amazing career that also contributed to the era's civil rights advances, President Joe Biden said. What I deeply admired and respected about him is that each time he rounded those bases — an astonishing 755 trips home — he melted away more and more of the ice of bigotry to show that we can be better as a people and as a nation,"" the president said in a statement Friday night.",1,0,false_positive,MB3,en,home run,NOUN-NOUN
4977,"Já as vagas remanescentes são abertas ao público por meio de concursos.  O primeiro colégio militar foi fundado no Rio de Janeiro em 1889.  O mais recente, localizado em São Paulo, foi inaugurado este ano.",1,0,false_positive,MB3,pt,colégio militar,NOUN-ADJ
6043,"Em ação conjunta com a Coordenação de Segurança Corporativa dos Correios/MS, a PRF (Polícia Rodoviária Federal) apreendeu 5,8 quilos de skunk e 716 gramas de cocaína no Centro de Distribuição da Empresa Brasileira de Correios e Telégrafos, em Campo Grande. A droga foi localizada dentro de encomendas, e até em embalagens de ovo de Páscoa e caixa de chocolates, com a ajuda dos cães Chacal e Bella, da raça Pastor Belga Malinois, e Alpha, da raça Pastor Alemão do GOC/MS (Grupo de Operações com Cães) da PRF. O trabalho em conjunto visa coibir os traficantes de drogas de utilizarem o serviço de encomendas postadas para lucrarem com a venda de substâncias ilícitas, os animais realizaram a busca em encomendas suspeitas e os policiais confirmaram a presença das drogas.",1,0,false_positive,MB3,pt,,
9138,"One is the delayed Episode 7 of Season 18 titled 'The First Day' that will be airing on February 9. And Episode 8 will be Sloane's swan song, which was most probably shot back in December 2020. But we might have to wait till March to see it.",1,0,false_positive,MB3,en,swan song,PROPN-NOUN
12059,"The ladies celebrated as they arrived in Antigua 46 days after leaving the Canary IslandsCredit: � Talisker Whisky Atlantic Challenge Sarah said: “It’s really overwhelming but a great feeling to be back on dry land.” The brave ladies competed in The Talisker Whisky Atlantic Challenge, an annual race departing from San Sebastian, La Gomera, Canary Islands and finishing in the English Harbour, Antigua and Barbuda.",1,0,false_positive,MB3,en,dry land,ADJ-NOUN
12839,"Também houve quedas de árvores no entorno da sede, conforme informações da instituição. Em nota enviada à Tribuna nesta sexta (12), a assessoria do Colégio Militar afirmou que ninguém se feriu. “Felizmente, não houve registro de dano ao pessoal da Organização Militar. Cabe salientar que estamos tomando todas as providências para sanar os problemas e que tal situação já ocorreu há um tempo atrás com danos somente materiais.”",1,0,false_positive,MB3,pt,,
15093,"But it is his 700 15th home run on April 8th, 1974 for which he will be remembered most home run. That was the home run, which broke the record previously held by Yankees legend Babe Ruth. But what should have been the crowning achievement in his major league career was instead filled with hate and anger on the way to one of the most sacred of baseball's records, Erin received death threats, thousands of pieces of racist hate mail.",1,0,false_positive,MB3,en,home run,NOUN-NOUN
15320,"O comandante comentou sobre alguns valores do ensino militar, como disciplina, hierarquia, lealdade e camaradagem.  O coronel explicou ainda que o Colégio Militar atende a todos os interessados, não sendo exclusividade de filhos de militares, e conta com educação inclusiva. O Revista Brasil vai ao ar de segunda a sexta-feira, às 8h, pelas rádios Nacional Brasília e Nacional Rio, e às 6h (horário local) pela Nacional Alto Solimões. ",1,0,false_positive,MB3,pt,,
15770,"Borg Construction of Stuart is the contractor. It appears that the Keating Resources project led to a chain reaction, including the purchase of a nearby building at 102 E. State St. from Michelle and Brent Ogden. The Ogdens sold it and will build new for their two companies, Ogden Electronics and Industrial Technology Distribution.",1,0,false_positive,MB3,en,chain reaction,NOUN-NOUN
