id,text,prediction,label,error_type,experiment,lang,mwe,mwe_pattern
65423,"doomchin stabbed denise webster, 61, in a moment of psychosis on aug. 13, 2018 after suffering from schizophrenia for more than 30 years, bogle said while delivering his trial verdict last summer. the judge committed doomchin after agreeing with the prosecution that she has a dangerous mental disorder. that followed a virtual hearing tuesday in which a psychiatrist testified and doomchin pleaded to be set free.",1,1,true_positive,MB3,en,mental disorder,ADJ-NOUN
11321,"our service is 100% free for you to use and you could save up to 80% off car parts list prices within minutes. buy new and used fiat panda car parts when you send in your quote request you'll be accessing fiat panda car spares from breakers, scrap yards and dismantlers across the uk.",1,1,true_positive,MB3,en,panda car,NOUN-NOUN
4378,"prior to this, we've had missions cover during two times of the day in some locations across the planet. knowing that the weather system is dynamic, it's very important for us to further understand and investigate the overall dust storm systems, clouds, water vapor, to name a few of the constituents that we are observing. what else we look at is how far hydrogen and oxygen extend out into space from mars.",1,1,true_positive,MB3,en,dust storm,NOUN-NOUN
77378,"it is completely free to download and play, and has, so far, been downloaded by over 10 million users. the objective of chain reaction is to eliminate other players’ orbs and take over the entire board. you can enjoy the game on both smartphones and tablets, but the hd mode is only available to larger screens.",1,1,true_positive,MB3,en,chain reaction,NOUN-NOUN
30105," i am glad to say that halifax pays no attention to this"". lothian played a central role in enlisting american support for economic aid to the british war effort. his change of view of nazi intentions following the 1939 invasion of czechoslovakia led him, as ambassador to the united states, to seek a comprehensive program of aid for britain.",1,1,true_positive,MB3,en,economic aid,ADJ-NOUN
26028,"the idaho state police say the crashes involving nine vehicles shut down both directions of interstate 15 south of idaho falls saturday afternoon for about seven hours. a police statement says ""many of the drivers were driving too fast when entering the dust storm with zero visibility, causing a chain reaction crash."" ten people were taken to hospitals, but there was no immediate word on their conditions.",1,1,true_positive,MB3,en,dust storm,NOUN-NOUN
21847,"enter to win a $100 gift card to flower child restaurant, opening may 2018 now's your chance to try out flower child with a $100 gift card. flower child has brought the best, fast casual, healthy food into the world.",1,1,true_positive,MB3,en,flower child,NOUN-NOUN
13546,"we are working really hard to give the best possible service and finding the clients very receptive,” he adds. in particular because with all the covid issues i am sure that many olive press readers have not been getting their normal health checks at the local hospital. we can do the same and a lot more in a far safer environment.”",1,1,true_positive,MB3,en,health check,NOUN-NOUN
77239,"when you are involved in a car accident that causes significant damage to your vehicle, the next step is getting compensated by the insurance company that provides the policy on the car. however, getting a fair price for the damage is often a challenge, as an insurance company loses money when it has to pay out following an accident. according to value penguin, claims adjusters who work for insurance companies try to pay the smallest amount possible for the damages that occurred to your vehicle.",1,1,true_positive,MB3,en,insurance company,NOUN-NOUN
10835,"this is also supported by a number of other findings: for example, several older studies show that women whose cycles are in sync with that of the moon have the highest probability of becoming pregnant. two large longitudinal studies demonstrate a significant correlation between birth rate and lunar phase with a slight increase in birth rate at full moon and a corresponding decrease at new moon. recent evidence also suggests that births are more likely to occur at night during a full moon and during the day when there is a new moon.",1,1,true_positive,MB3,en,birth rate,NOUN-NOUN
71218,"wear bow ties every day if you want to incorporate them into your entire business attire, or wear them infrequently if you prefer to use them as a fashion statement. if you are employed at an academic institution, opt for bow ties during classroom lectures, student meetings and professional conferences. as a doctor or lawyer, choose bow ties for courtroom hearings, client meetings and patient consultations.",1,1,true_positive,MB3,en,bow tie,VERB-NOUN
98667,"the report, entitled the future of the global muslim population, was part of a pew forum program analysing religious change and its impact on societies around the world. alan cooperman, pew forum associate director for research, said the results refuted claims made by some critics of muslim immigration that high birth rates would make muslims the majority in europe within a few decades. muslim minorities will grow to around 10 percent of the population in several european countries, he said, adding: those are substantial increases but they are very far from 'eurabia' scenario of runaway growth.",1,1,true_positive,MB3,en,birth rate,NOUN-NOUN
89787,"locally owned restaurants the deadrise, the vanguard and brown chicken brown cow also received a shout out. this is my south is a travel guide for all things in the southern united states, featuring accommodation reviews, restaurant recommendations, and activities for all ages and budgets. editor caroline eubanks visited hampton in september 2019 and toured hampton’s heritage sites.",1,1,true_positive,MB3,en,travel guide,NOUN-NOUN
59187,"that driver stayed on the scene, but the person behind the wheel of a second car that hit her drove off. jeaneth's husband elerie was in the middle of cooking her favorite soup in celebration of their 31st wedding anniversary. when jeaneth's friend phoned him to rush over a few blocks to tend to his dying wife.",1,1,true_positive,MB3,en,wedding anniversary,NOUN-NOUN
9810,"so when you sink your teeth into it, you’ll reveal the bright pink cream that looks like it belongs on a stick. the 2017 packaging for the cotton candy twinkies featured a striped tent and ferris wheel, so it was really embracing that carnival feel. this time around, however — and the reason we know that it’s coming back — is because now it has a more spring feel to it.",1,1,true_positive,MB3,en,cotton candy,NOUN-NOUN
61744,"birth rates are falling in coventry and creating a lower demand for school reception places. councillors at coventry city council this week were told after several years of expanding primary schools, things are now moving in the opposite direction due to lower birth rates. a report to an education and skills meeting on february 1 said it is a trend which “is forecast to continue” – but the authority has not disclosed the city’s birth rates, despite being asked multiple times.",1,1,true_positive,MB3,en,birth rate,NOUN-NOUN
43006,"here, the weather is harsh, rarely mild and always unpredictable. alpine creatures sieze the high life of summer before winter turns their home into a frozen fortress. soar into the alps, and meet the remarkable mountaineers that thrive here.",1,1,true_positive,MB3,en,high life,ADJ-NOUN
5376,"sales of pregnancy tests and pregnancy vitamins in germany jumped in the last few months, according to a poll conducted for pharmacy news service apotheke adhoc. the bigger the economic fears, the bigger the impact on the birth rate,” said martin bujard, deputy director at germany’s federal institute for population research. so in countries where the welfare state minimises the economic impact – like germany – there might be less of a negative effect.”",1,1,true_positive,MB3,en,birth rate,NOUN-NOUN
5324,"broad credit growth picked up some in february, after declining for four consecutive months. still, analysts expect lending will slow again given beijing’s recent signals. in contrast, last week the u.s. enacted a fresh $1.9 trillion economic aid package and the european central bank said it would boost its purchases of eurozone debt. the different approaches reflect how beijing views the pandemic as a temporary disruption, while western policy makers are still trying to revive their economies and prevent long-term damage from the pandemic’s effects.",1,1,true_positive,MB3,en,economic aid,ADJ-NOUN
9938," a member of the relief committee was detailed on the case and he found the baby. the same day, while walking on the street, he saw a woman carrying a baby in a pillow slip thrown over her shoulder. two hours later he again met the woman. ",1,1,true_positive,MB3,en,pillow slip,NOUN-VERB
20685,"sunday at camp is much like any other day, excepting that the laundry is given out and the outgoing wash collected. the boys form into line under the direction of the faculty, are sent down in companies of ten according to their numbers, to the laundry room, where they receive the clean wash, consisting of personal clothes, besides sheets, towels and pillow slips, take them up to their tents, put them in their trunks, excepting what they put into immediate use. after breakfast they gather up all the soiled wash, make out a duplicate list, and have them ready when the man calls at each tent for them. ",1,1,true_positive,MB3,en,pillow slip,NOUN-VERB
24264,"ken geidel, who served and entertained penguins fans and pittsburgh sports fans for years with his unique style as a concession vendor, has passed away. geidel was known as the ""pittsburgh cotton candy man"" and ""pittsburgh lemonade man"" and had a following on facebook and the internet. ken was an exemplary employee who was with us for a long time,"" said michael mcdonald, district manager for aramark.",1,1,true_positive,MB3,en,cotton candy,NOUN-NOUN
55355,"for women between the ages of 30 and 34, the birth rate increased by 1 percent over 2015 — the highest rate for this age group since 1964. the birth rate for women who are between 35 and 39 is up 2 percent over 2015, representing the highest rate since 1962. even older women, those between the ages of 40 and 44, showed a swelling increase of 4 percent over 2015 — the highest rate for this group since 1966, according to the statisticians, while the rate of birth for women who are older than 45 is also a record high though the number of births remains essentially unchanged compared to last year.",1,1,true_positive,MB3,en,birth rate,NOUN-NOUN
62716,"this is a good point at which to move it into garden soil where roots can spread and give the young plant a boost. you can also plant a nursery specimen of ""cotton candy"" during the summer, but a larger plant that's been growing for months in its pot might be root bound and could get off to a slow start and not bloom well until the following season. whenever you plant ""cotton candy,"" choose a spot that gets full sun for at least most of each day.",1,1,true_positive,MB3,en,cotton candy,NOUN-NOUN
99713,"create a website for your bow tie business. bow ties are primarily worn by men, but both men and women buy them, as some women may like buying ties and other clothing accessories for their husbands or boyfriends. your site should appeal to both men and women.",1,1,true_positive,MB3,en,bow tie,VERB-NOUN
59971,"probably the only real way, come to think of it. he also had a very bad hat. it was a grey homburg.",1,1,true_positive,MB3,en,bad hat,ADJ-NOUN
18743,"to identify and track dust storms, the researchers used state- of-the-art algorithms to determine where they formed, their frequency and duration, and their spatial extent. the researchers found a link between intensifying shamal winds in the north and the formation of extreme dust storms in the arabian peninsula. these strong winds transport fine particles from the surrounding desert to the region, leading to thick clouds of dust that can reach altitudes of up to four kilometers above sea level and last for three days or longer.",1,1,true_positive,MB3,en,dust storm,NOUN-NOUN
75731,"she moved with her brother to live with a new family while they were dance training, she often performs with a partner and she’s known for sweet nature. there was a moment when host craig robinson called out ‘hey julianne’ to cotton candy, she instantly turned her head in response. however, that definitely didn’t sound like her voice when cotton candy said team player.",1,1,true_positive,MB3,en,cotton candy,NOUN-NOUN
67549,"i think many of the requests came from businesses."" bow tie will also be offering a ""private party"" option in two of the location's 11 auditoriums. under that option, people can rent the theater for a private screening of any of a number of movies, new and old, with the price ranging from $99 to $199, depending on the movie.",1,1,true_positive,MB3,en,bow tie,VERB-NOUN
74631,"fhm insurance services and fhm insurance company will remain domiciled in florida. fhm insurance company’s operations, commitment, and high level of service to our agents and policyholders will continue with the added strength, stability and management experience of luba workers’ comp,” said matthew lupino, vice president of business development of fhm insurance company. the luba team brings 30 years of workers’ compensation experience to fhm insurance company and the florida market.”",1,1,true_positive,MB3,en,insurance company,NOUN-NOUN
92901,"dries slightly powdery, musky soapy soft floral. i love this one because sex bomb was one of my favorite bath bombs so it's great to have this in a sprayable format. i'm obsessed with the head shop vibes from this.",1,1,true_positive,MB3,en,sex bomb,NOUN-NOUN
42940,"the firm added that following the appointment of calamita, acting chairman and ceo robert payment has resigned from the company. concurrently with the appointment of calamita as a director, world high life said it has agreed with the vendors of love hemp that the settlement of the final deferred consideration of £2mln will be satisfied by the issue of around 133mln shares in world high life at a price of 1.5p each rather than in cash. the first tranche of 68mln shares will be allotted immediately while the remaining 65mln will be allotted by june 30, 2021.",1,1,true_positive,MB3,en,high life,ADJ-NOUN
21565,"the us department of defense affirmed that the deputy prime minister has exerted relentless efforts to promote stability and prosperity in the region and resolve the gulf dispute. the department of defense medal for distinguished public service is the highest honorary award bestowed by the us department of defense to national figures and political and military figures in foreign governments. the medal was adopted in 1947 and recognizes the exceptionally distinguished service of significance to the department of defense as a whole, or service of such exceptional significance.",1,1,true_positive,MB3,en,public service,ADJ-NOUN
48053,"no dia internacional da democracia, videoaulas, palestras, podcasts e textos disponíveis nos acervos da universidade trazem diferentes olhares sobre esse regime político data instituída pela organização das nações unidas (onu) em 2007, o dia internacional da democracia, em 15 de setembro, é uma oportunidade de se debater e refletir sobre o regime político presente na maioria dos países ocidentais, que passa atualmente por várias tensões e crises. construída com base na inclusão, na igualdade de tratamento e na participação, a democracia é considerada pelas principais organizações internacionais um alicerce fundamental para a paz, o desenvolvimento sustentável e os direitos humanos.",1,1,true_positive,MB3,pt,regime político,NOUN-ADJ
